"","text"
"1","trakindo menghadirkan sentra vaksinasi  menyediakan masingmasing  dosis vaksincovidbagi masyarakat m "
"2","trakindo menghadirkan sentra vaksinasi  menyediakan masingmasing  dosis vaksincovidbagi masyarakat m "
"3","pemkot kota bandung targetkan  persen vaksinasi vivid  masyarakat   desember  "
"4","wonogiri  mencapai angaka  persen  cakupan vaksinasi  masyarakat     lakuka "
"5","indonesia lampaui target who  capaian vaksinasi covid    utk   keamanan  masyarakat i "
"6","yes indonesia  kedatangan vaksin astrazeneca  pfizer   langkah pemerintah  wujudkan st "
"7","vaksinasi covid capai  persen masyarakat  diimbau disiplinprokes "
"8","percepat program vaksinasi nasional polresta bandar lampung buka gerai vaksin  presisi  masyarakat  melin "
"9","sukseskan vaksinasi covid  masyarakat "
"10","himbauan  masyarakat   menjaga keselamatan  berkendaraan  ajakan   vaksinasi "
"11","kabinda riau ajak masyarakat  dukung program vaksinasi covid "
"12"," stakeholder pelabuhan fakfak beserta  pengunjung pelabuhan fakfak  diwajibkan   stakeholder "
"13","kegiatan komsosserka marwan babinsa desa singere melaksanakan kegiatan teritorial komsos  masyarakat  me "
"14","   covid   menurun  kegiatan vaksinasi  dilangsungkan  merata   masyarakat indone"
"15","gerakan   tnipolri  forkopimda kab lampung    membuka gerai vaksinasi gratis  mas "
"16","vaksinasi anak  mencapai masyarakat produktif  aman covid "
"17","ayo vaksin  menanggulangi pandemi covid  upaya vaksinasi     melindungi masyarak "
"18","polres pematangsiantar melaksanakan vaksinasi massal dosis i amp  ii  masyarakat pasar horas pematangsiantar  "
"19","personil polsek toho mengajak masyarakat  disiplin prokes  vaksinasi  poldakalbar   "
"20","personil polsek toho mengajak masyarakat  disiplin prokes  vaksinasi  poldakalbar   "
"21","gebyar vaksinasi covid tnipolri  pemkot pekalongan beserta perbankan  wilayah pekalongan  masyarakat "
"22","gebyar vaksinasi covid tnipolri  pemkot pekalongan beserta perbankan  wilayah pekalongan  masyarakat "
"23","melaksanakan deteksi  monitoring pelaksanaan vaksinasi covid utk lansia p publik  masyarakat  dosis "
"24","bhabhinkamtibmas aipda alexander v meliala  aipda rahman purba melks pengamanan vaksinasi dosis i  warga mas "
"25","polres balangan melaksanakan gerai vaksinasi mobile kali  bertempat dihalaman  pasar paringin kab balanga "
"26","mendukung program pemerintah percepatan vaksinasi covid  sertu ali nasron koramil gumelar  bhabinkamti "
"27","giat satlantas polres halut gabungan sabhara laksanakan penertiban preokes kartu vaksinasi  sosialisasi  "
"28","gait sat lantas polres halut laksnakan sosialisasi  himbauan  masyarakat kota tobelo   vaksinasi "
"29"," edisi pecinda peduli cinta  lindungi kali    anggota polisi  aksi  pemberian sembak "
"30","pelaksanaan vaksinasi dosis i  dosis ii  masyarakat   wilkum polsek sipirok kelurahan hutasuhut    "
"31","personil polsek sipispis melaksanakan monitor  pengamanan kegiatan vaksinasi covid door to door tahap i kepad "
"32","pelaksanaan vaksinasi astrazeneka  sinovac tahap i    tahap ii    warga masyarakat  kel "
"33","gebyar vaksinasi covid tnipolri  pemkot pekalongan  masyarakat  bertempat  kantor kelurahan ban "
"34","gebyar vaksinasi covid tnipolri  pemkot pekalongan  masyarakat  bertempat  kantor kelurahan ban "
"35","pelaksanaan vaksinasi dosis i  dosis ii  masyarakat   wilkum polsek sipirok desa pahae aek salaga "
"36","pelaksanaan operasi justisi  sasaran pendisiplinan prokes   himbauan  masyarakat  mens "
"37","  masyarakat  takut divaksin ayo  vaksinasi  melindungi   mencegah penyebaran covid "
